web-scraper-order,web-scraper-start-url,name
"1659354755-3239","https://gbbf.realaledb.com/LiveBar.php","Marlobobo Megabear (Norway)									 - Plz Guaway									  - 5.5%
										- Other											
											B18											

										
									      										
										 									   
									   								   										   										   										   											   
										 Tasting notes not available"
"1659354755-3486","https://gbbf.realaledb.com/LiveBar.php","Van Moll (Netherlands)									 - Wanderlust									  - 0.3%
										- IPA											
											B15											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Nice fruity hop flavours and malt balance - a nice IPA. Unusually so at this strength!"
"1659354755-3342","https://gbbf.realaledb.com/LiveBar.php","Redwillow									 - Headless									  - 3.9%
										- Pale											
											B01											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Refreshingly floral pale ale with a dry hop bitterness and a light, quenching hint of citrus."
"1659354755-2861","https://gbbf.realaledb.com/LiveBar.php","Andwell									 - Gold Muddler									  - 3.9%
										- Blonde											
											B09											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Named after a fishing fly used for luring trout, this Blonde Ale has a refreshing pallette due to the use of high quality pale ale malt. By blending different hops at various stages of the brewing process Andwells have produced a beautiful beer with a citrus aroma and balanced bitterness."
"1659354755-2905","https://gbbf.realaledb.com/LiveBar.php","Beermats									 - Format									  - 3.9%
										- Pale											
											B12											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Pale ale with a hoppy finish on the palate and a light citrus aroma with a hint of elderflower and grapefruit"
"1659354755-3169","https://gbbf.realaledb.com/LiveBar.php","Kaapse Brouwers (Netherlands)									 - May									  - 7.5%
										- Other											
											B15											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Dry hopped Maibock, so much more hop forward and lighter drinking than the later year, maltier bocks."
"1659354755-3335","https://gbbf.realaledb.com/LiveBar.php","Ramses Bier (Netherlands)									 - Willem Bever									  - 7.3%
										- Other											
											B15											

										
									    																				
										 									   
									   								   										   										   										   											   
										 A really good Dubbel with the expected malt,light chocolate and slight hoppy balance. In this case the flavour is enhanced by oak aging and hints of red wine"
"1659354755-2921","https://gbbf.realaledb.com/LiveBar.php","Blackedge									 - Dark Mild									  - 3.9%
										- Mild											
											B09											

										
									    																				
										 									   
									   								   										   										   										   											   
										 A proper Dark Mild, lightly hopped with a smooth caramel, chocolate flavour with a hint of liquorice & blackcurrant on the finish."
"1659354755-3503","https://gbbf.realaledb.com/LiveBar.php","Vocation									 - Life & Death									  - 6.5%
										- IPA											
											B05											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Ballsy US style IPA with tropical & citrus fruits notes, lingering bitterness and a smooth malty backbone"
"1659354755-3006","https://gbbf.realaledb.com/LiveBar.php","Cross Bay									 - Zenith IPA									  - 5%
										- IPA											
											B12											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Zenith is a reasonably strong IPA, which is light and refreshing in colour with a distinct tropical aroma.  Zesty fruit flavours are followed by a hefty kick from the triple blend of hops, which makes this ale particularly special."
"1659354755-3421","https://gbbf.realaledb.com/LiveBar.php","Struise Brouwers (Belgium)									 - Cuvee Delphine									  - 10%
										- Speciality											
											B15											

										
									      										
										 									   
									   								   										   										   										   											   
										 Tasting notes not available"
"1659354755-2963","https://gbbf.realaledb.com/LiveBar.php","Bullhouse									 - Road Trippin'									  - 4%
										- Pale											
											B04											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Our season-long Pale Ale aims to provide balance between bold flavour and easy drinkability. It's full of rounded tropical fruit flavours with a soft juicy finish and low bitterness."
"1659354755-3148","https://gbbf.realaledb.com/LiveBar.php","Hybrid									 - Magic Porridge									  - 4.7%
										- Stout											
											B12											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Dark but silky smooth. The oats give it a creamy taste that goes with the full roasted chocolate flavours"
"1659354755-3447","https://gbbf.realaledb.com/LiveBar.php","Tirril									 - Red Barn Ale									  - 4.4%
										- Bitter											
											B01											

										
									    																				
										 									   
									   								   										   										   										   											   
										 A traditional beer with a rich nut-brown colour, a good malty body, using plenty of roast and crystal barleys and also a solid hop character, featuring three classic British hops; Challenger, Fuggles and Goldings"
"1659354755-2886","https://gbbf.realaledb.com/LiveBar.php","Ayr									 - The Coming of the Lord									  - 5.7%
										- Pale											
											B01											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Low bitterness, soft mouthfeel, juicy, fruity and hazy. Brewed with extra pale malt, oats and wheat. Hopped in the copper with Mount Hood, Citra and Mosaic. Dry hopped in both the fermentation and conditioning tanks with Simcoe, Citra, Mosaic & Amarillo."
"1659354755-3039","https://gbbf.realaledb.com/LiveBar.php","Dorking									 - DB Number One									  - 4.2%
										- Bitter											
											B08											

										
									    																				
										 									   
									   								   										   										   										   											   
										 A full flavoured amber bitter that leaves you with a refreshing aftertaste."
"1659354755-2931","https://gbbf.realaledb.com/LiveBar.php","Boxing Bear Brewing Co (USA)									 - Strata Albu-Murky									  - 6.5%
										- IPA											
											B17											

										
									      										
										 									   
									   								   										   										   										   											   
										 Tasting notes not available"
"1659354755-3249","https://gbbf.realaledb.com/LiveBar.php","Moat Mountain Brewing Co (USA)									 - Flavah of the Day NEIPA									  - 7%
										- IPA											
											B17											

										
									      										
										 									   
									   								   										   										   										   											   
										 Tasting notes not available"
"1659354755-2892","https://gbbf.realaledb.com/LiveBar.php","Barefaced									 - Peacock Bitter									  - 3.5%
										- Bitter											
											B03											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Toasty malt sweetness, hints of caramel, and a background of light fruitiness. Blended old and new world hops give crisp bitterness and complexity"
"1659354755-3417","https://gbbf.realaledb.com/LiveBar.php","Struise Brouwers (Belgium)									 - Black Damnation XXVI - Froggy									  - 13%
										- Stout											
											B15											

										
									      										
										 									   
									   								   										   										   										   											   
										 Tasting notes not available"
"1659354755-3268","https://gbbf.realaledb.com/LiveBar.php","Nerd (Sweden)									 - Hashmap									  - 10.5%
										- Stout											
											B18											

										
									      										
										 									   
									   								   										   										   										   											   
										 Tasting notes not available"
"1659354755-3185","https://gbbf.realaledb.com/LiveBar.php","Kirkstall									 - Black Band Porter									  - 5.5%
										- Porter											
											B14											

										
									    																				
										 									   
									   								   										   										   										   											   
										 A full bodied yet beautifully smooth dark porter. Perfectly balanced"
"1659354755-3359","https://gbbf.realaledb.com/LiveBar.php","Salama (Finland)									 - Vortex #1									  - 5%
										- Other											
											B18											

										
									      										
										 									   
									   								   										   										   										   											   
										 Tasting notes not available"
"1659354755-3433","https://gbbf.realaledb.com/LiveBar.php","Tempest									 - The Pale Armadillo									  - 3.8%
										- Pale											
											B01											

										
									    																				
										 									   
									   								   										   										   										   											   
										 21st century Session IPA bursting with hop favour. Expect big upfront citrus fruits in this fantastic session ale."
"1659354755-2917","https://gbbf.realaledb.com/LiveBar.php","Black Hole									 - Cyborg									  - 5.5%
										- Golden											
											B01											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Cyborg is a rich golden ale, with a combination of goldings and pilgrim hops that provide a citrus aroma, with a bitter taste."
"1659354755-2845","https://gbbf.realaledb.com/LiveBar.php","Aeronaut Brewing Co (USA)									 - Blueberry Key Lime Sour Planet									  - 5.7%
										- Speciality											
											B17											

										
									      										
										 									   
									   								   										   										   										   											   
										 Tasting notes not available"
"1659354755-3025","https://gbbf.realaledb.com/LiveBar.php","De Kromme Haring (Netherlands)									 - Crimping Crab									  - 4%
										- Other											
											B15											

										
									    																				
										 									   
									   								   										   										   										   											   
										 An extremely refreshing slightly sour Grisette-style beer, with beautiful fruity hop aromas and a nice character from our saison yeast blend"
"1659354755-3406","https://gbbf.realaledb.com/LiveBar.php","Stealth Brew Co									 - Enigma									  - 4.2%
										- Stout											
											B14											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Classic stout flavours of chocolate and roast coffee are overlaid with a pleasant smooth, creaminess provided by the oats"
"1659354755-2849","https://gbbf.realaledb.com/LiveBar.php","Alder (Italy)									 - This Is Riwaka									  - 6.2%
										- IPA											
											B15											

										
									      										
										 									   
									   								   										   										   										   											   
										 Tasting notes not available"
"1659354755-3195","https://gbbf.realaledb.com/LiveBar.php","Leigh on Sea									 - Undisputed Era									  - 5.5%
										- Pale											
											B03											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Brewed with Magnum and Cascade hops it delivers a refreshing, smooth mouthfeel with subtle tropical fruit flavours and a bitter finish that ticks all the boxes"
"1659354755-2889","https://gbbf.realaledb.com/LiveBar.php","Bad Seed									 - Session IPA (Galaxy, Amarillo, Mandarina Bavaria)									  - 4%
										- IPA											
											B04											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Easy drinking abv, full on hop flavour. A combination of ace hops- Galaxy, Amarillo, and Mandarina Bavaria come together to give flavours of tropical fruit, grapefruit and citrus with a smooth bitterness"
